,,,,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Ben Howland,UCLA,Pac-10,,30,6,.833,6,7,Lost National Semifinal,,2003-04,91,41,.689,3,2,2,,,257,142,.644,6,4,2,
Bob Huggins,Kansas State,Big 12,,23,12,.657,,,,,2006-07,23,12,.657,,,,,,518,186,.736,15,4,1,
Dick Hunsaker,Utah Valley,Ind,,22,7,.759,,,,,2004-05,54,32,.628,,,,,,169,78,.684,2,1,,
Larry Hunter,Western Carolina,Southern,,11,20,.355,,,,,2005-06,24,37,.393,,,,,,228,185,.552,1,,,
Ron Hunter,IU Indianapolis,Mid-Cont,,15,15,.500,,,,,1998-99,135,133,.504,1,,,,,135,133,.504,1,,,
Brad Huse,Montana State,Big Sky,,11,19,.367,,,,,2006-07,11,19,.367,,,,,,11,19,.367,,,,
Tony Ingle,Kennesaw State,A-Sun,,13,18,.419,,,,,2005-06,25,35,.417,,,,,,25,54,.316,,,,
Tom Izzo,Michigan State,Big Ten,,23,12,.657,,,Lost Second Round,,1995-96,278,121,.697,10,6,4,1,,278,121,.697,10,6,4,1
Gil Jackson,Howard,MEAC,,9,22,.290,,,,,2005-06,16,44,.267,,,,,,16,44,.267,,,,
Greg Jackson,Delaware State,MEAC,,21,13,.618,,,,,2000-01,118,96,.551,1,,,,,118,96,.551,1,,,
Jeff Jackson,Furman,Southern,,15,16,.484,,,,,2006-07,15,16,.484,,,,,,36,76,.321,,,,
Lewis Jackson,Alabama State,SWAC,,10,20,.333,,,,,2005-06,22,38,.367,,,,,,22,38,.367,,,,
Ben Jacobson,Northern Iowa,MVC,,18,13,.581,,,,,2006-07,18,13,.581,,,,,,18,13,.581,,,,
Jerome Jenkins,Sacramento State,Big Sky,,10,19,.345,,,,,2000-01,76,123,.382,,,,,,76,123,.382,,,,
Rob Jeter,Milwaukee,Horizon,,9,22,.290,,,,,2005-06,31,31,.500,1,,,,,31,31,.500,1,,,
Ron Jirsa,Marshall,CUSA,,13,19,.406,,,,,2003-04,43,74,.368,,,,,,78,104,.429,,,,
Jay John,Oregon State,Pac-10,,11,21,.344,,,,,2002-03,66,85,.437,,,,,,66,85,.437,,,,
Trent Johnson,Stanford,Pac-10,,18,13,.581,,,Lost First Round,,2004-05,52,40,.565,2,,,,,131,114,.535,3,1,,
Bobby Jones,Saint Francis (PA),NEC,,8,21,.276,,,,,1999-00,79,144,.354,,,,,,79,144,.354,,,,
