game_id,game_date,game_time,home_team,away_team,home_team_id,away_team_id,team,team_id,team_type,price,sportsbook,last_updated,fetch_date,fetch_time,market_type,handicap
manual-2026-24,2026-03-20,12:15:00,Alabama,Hofstra,1104,1220,Hofstra,1220,away,-110,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+11.5
manual-2026-25,2026-03-20,13:10:00,Villanova,Utah St,1437,1429,Villanova,1437,home,+105,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-25,2026-03-20,13:10:00,Villanova,Utah St,1437,1429,Utah St,1429,away,-125,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-25,2026-03-20,13:10:00,Villanova,Utah St,1437,1429,Villanova,1437,home,-110,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+1.5
manual-2026-25,2026-03-20,13:10:00,Villanova,Utah St,1437,1429,Utah St,1429,away,-110,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-1.5
manual-2026-26,2026-03-20,15:50:00,Clemson,Iowa,1155,1234,Clemson,1155,home,+114,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-26,2026-03-20,15:50:00,Clemson,Iowa,1155,1234,Iowa,1234,away,-135,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-26,2026-03-20,15:50:00,Clemson,Iowa,1155,1234,Clemson,1155,home,-118,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+2.5
manual-2026-26,2026-03-20,15:50:00,Clemson,Iowa,1155,1234,Iowa,1234,away,-102,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-2.5
manual-2026-27,2026-03-20,16:10:00,St John's,Northern Iowa,1385,1320,St John's,1385,home,-600,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-27,2026-03-20,16:10:00,St John's,Northern Iowa,1385,1320,Northern Iowa,1320,away,+440,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-27,2026-03-20,16:10:00,St John's,Northern Iowa,1385,1320,St John's,1385,home,-110,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-10.5
manual-2026-27,2026-03-20,16:10:00,St John's,Northern Iowa,1385,1320,Northern Iowa,1320,away,-110,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+10.5
manual-2026-28,2026-03-20,16:25:00,UCLA,UCF,1417,1416,UCLA,1417,home,-250,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
