Season,TeamID,TeamName,Barthag,Exp
2008,1394,Texas A&M Corpus Chris,0.2425,0.9705882352941172
2008,1322,Northwestern St.,0.24,1.8901976442403663
2008,1147,Centenary,0.2398,1.1459868552081258
2008,1142,Cal Poly,0.2329,2.0089082245701264
2008,1389,Saint Peter's,0.2303,1.2008688456764585
2008,1306,New Hampshire,0.2281,1.1108000000000002
2008,1374,SMU,0.2279,1.4486897379475896
2008,1217,Harvard,0.2233,1.349462365591398
2008,1184,Eastern Kentucky,0.2217,1.6235999999999997
2008,1391,Stetson,0.2198,1.478835432583109
2008,1175,Delaware St.,0.2111,1.5433086617323473
2008,1273,Mercer,0.2104,1.7446000000000002
2008,1146,Central Arkansas,0.204,1.9498100379924024
2008,1157,Coastal Carolina,0.1986,1.9832989690721647
2008,1427,UTSA,0.1965,1.871
2008,1287,Morehead St.,0.1934,1.5625125025005002
2008,1225,Idaho,0.1874,2.3774490203918432
2008,1144,Campbell,0.1862,1.490203918432627
2008,1367,USC Upstate,0.1783,1.383523295340931
2008,1313,Norfolk St.,0.177,2.2093999999999996
2008,1335,Penn,0.1767,1.3631346578366448
2008,1383,St. Francis NY,0.1733,1.8933573429371744
2008,1202,Furman,0.1706,0.7927243653807712
2008,1366,Savannah St.,0.1702,1.6786714685874349
2008,1392,Stony Brook,0.1684,2.0109594706368896
2008,1359,Samford,0.1675,1.4530000000000003
2008,1192,Fairleigh Dickinson,0.1658,1.8831766353270656
2008,1226,Idaho St.,0.1645,1.601840736294518
2008,1369,Southeast Missouri St.,0.1617,1.6963288108539505
2008,1415,UC Riverside,0.1611,1.5737365368682683
2008,1342,Presbyterian,0.159,1.343406043626175
2008,1349,Rice,0.1584,1.353989309047713
2008,1347,Radford,0.155,1.29125825165033
2008,1253,Long Beach St.,0.1538,1.5618
2008,1195,Florida Gulf Coast,0.1524,2.4931874483897603
2008,1343,Princeton,0.1499,1.9260147970405912
2008,1299,North Carolina A&T,0.1474,2.385
2008,1197,Florida A&M,0.1461,2.1831999999999994
2008,1284,Monmouth,0.1461,0.8987797559511903
2008,1290,Mississippi Valley St.,0.1445,2.490196078431372
2008,1164,Coppin St.,0.1436,1.9855999999999991
2008,1384,Saint Francis,0.1424,1.6685337067413473
2008,1145,Canisius,0.137,0.7128385362828202
2008,1244,Kennesaw St.,0.1364,1.4691999999999998
2008,1238,Jackson St.,0.1345,1.7142857142857135
2008,1149,Charleston Southern,0.132,0.9987995198079228
2008,1167,Cal St. Bakersfield,0.1297,1.3869096934548475
2008,1380,Southern,0.1286,1.7760447910417922
2008,1354,South Carolina St.,0.1286,1.587037037037038
2008,1171,Dartmouth,0.1264,1.7744548286604362
2008,1263,Maine,0.1224,1.2084416883376674
2008,1413,UC Davis,0.1198,1.2911417716456706
2008,1105,Alabama A&M,0.1176,1.41814911053368
2008,1240,Jacksonville St.,0.1173,1.36485405837665
2008,1183,Eastern Illinois,0.1139,2.0805516689986012
2008,1126,Bethune Cookman,0.113,1.9566
2008,1445,Winston Salem St.,0.1113,1.5567522783761398
2008,1256,Louisiana Tech,0.109,1.4424884976995402
2008,1255,Longwood,0.0954,1.976637380191692
2008,1115,Arkansas Pine Bluff,0.0915,2.1749384741591467
2008,1154,The Citadel,0.0881,0.2489004398240704
2008,1170,Sacramento St.,0.0754,1.7394789579158316
2008,1341,Prairie View A&M,0.0749,2.0237218813905935
2008,1258,Loyola Marymount,0.0713,1.0701835928422023
2008,1411,Texas Southern,0.0642,1.7530251934140058
2008,1224,Howard,0.0553,1.0821465428276569
2008,1316,North Florida,0.0546,1.505101020204041
2008,1212,Grambling St.,0.0531,1.325734853029394
2008,1108,Alcorn St.,0.053,2.0242
2008,1300,North Carolina Central,0.047,1.5411999999999997
2008,1271,Maryland Eastern Shore,0.0361,1.1150000000000009
2008,1312,NJIT,0.0196,1.074453234062355
2020,1242,Kansas,0.9643,1.5597119423884789
2020,1124,Baylor,0.9518,1.8707741548309655
2020,1173,Dayton,0.9469,2.0324064812962597
2020,1211,Gonzaga,0.9466,1.75750300120048
2020,1181,Duke,0.9384,1.049039231385108
2020,1277,Michigan St.,0.9348,1.4042383046781293
2020,1326,Ohio St.,0.9264,1.5016012810248205
2020,1166,Creighton,0.9242,1.5782530481710983
2020,1361,San Diego St.,0.9195,2.1235730022030848
2020,1257,Louisville,0.9187,2.1455126923845693
2020,1452,West Virginia,0.9116,1.3696435722867435
2020,1112,Arizona,0.9089,1.248048048048048
2020,1276,Michigan,0.9034,1.8092762894842072
2020,1437,Villanova,0.9018,1.0260104041616644
2020,1336,Penn St.,0.901,1.843843843843844
2020,1140,BYU,0.9002,2.377751100440176
2020,1222,Houston,0.8984,1.3119871923153896
2020,1139,Butler,0.8982,2.1831098659195503
2020,1332,Oregon,0.8977,1.7111956739435223
2020,1199,Florida St.,0.8936,1.4391756702681078
2020,1458,Wisconsin,0.8916,2.133466533466533
2020,1371,Seton Hall,0.8912,2.076707950459449
2020,1345,Purdue,0.891,1.5405675459632295
2020,1403,Texas Tech,0.8811,1.2566105769230775
2020,1268,Maryland,0.8807,1.3407318536292734
2020,1278,Minnesota,0.8759,1.3289289289289292
2020,1353,Rutgers,0.875,1.527283629822107
2020,1246,Kentucky,0.8741,0.9863945578231296
2020,1234,Iowa,0.8721,1.4743999999999993
2020,1228,Illinois,0.8695,1.5280000000000005
2020,1455,Wichita St.,0.8687,1.0529270248596632
2020,1196,Florida,0.8673,0.9133826765353072
2020,1266,Marquette,0.8661,2.1163862179487185
2020,1344,Providence,0.8652,2.1987987987987987
2020,1120,Auburn,0.8589,1.994594594594595
2020,1438,Virginia,0.8548,1.7123424684936983
2020,1160,Colorado,0.8485,1.961145603845384
2020,1231,Indiana,0.8471,1.381523695260948
2020,1390,Stanford,0.8458,1.0277888844462213
2020,1388,Saint Mary's,0.8435,1.9051051051051056
2020,1261,LSU,0.8424,1.3737737737737734
2020,1462,Xavier,0.8409,1.9338661338661347
2020,1429,Utah St.,0.8406,1.79763811048839
2020,1328,Oklahoma,0.8345,1.5234000000000003
2020,1393,Syracuse,0.8317,1.176470588235294
2020,1301,N.C. State,0.8303,2.0830664531625307
2020,1116,Arkansas,0.8293,1.9360000000000004
2020,1153,Cincinnati,0.8237,2.1518607442977187
2020,1350,Richmond,0.8156,1.6348000000000005
2020,1449,Washington,0.8144,0.9182000000000003
2020,1280,Mississippi St.,0.811,1.339732053589283
2020,1272,Memphis,0.8103,0.4002800560112023
2020,1329,Oklahoma St.,0.8052,1.761800000000001
2020,1387,Saint Louis,0.8037,1.3192891373801912
2020,1385,St. John's,0.8026,1.5771462877726634
2020,1320,Northern Iowa,0.8001,2.0271945610877826
2020,1104,Alabama,0.7983,1.3586151691014612
2020,1323,Notre Dame,0.7981,2.13734506197521
2020,1397,Tennessee,0.7969,1.6562562562562555
2020,1433,VCU,0.7946,2.030406081216243
2020,1163,Connecticut,0.7942,1.3768492602958813
2020,1425,USC,0.793,1.5229045809161827
2020,1210,Georgia Tech,0.7857,1.8500800640512416
2020,1113,Arizona St.,0.7855,1.813925570228092
2020,1348,Rhode Island,0.7843,1.6607214428857713
2020,1376,South Carolina,0.7815,1.0791841631673664
2020,1400,Texas,0.7793,1.3978774529435318
2020,1317,North Texas,0.771,2.0408408408408407
2020,1256,Louisiana Tech,0.7704,2.2099160335865657
2020,1251,Liberty,0.7697,2.003202562049639
2020,1362,San Francisco,0.7691,1.9745898359343732
2020,1463,Yale,0.7689,2.0861999999999994
2020,1207,Georgetown,0.7658,2.0898359343737503
2020,1155,Clemson,0.7657,1.5187037407481505
2020,1103,Akron,0.7535,2.275889644142343
2020,1417,UCLA,0.7533,1.014053402931138
2020,1190,East Tennessee St.,0.7512,2.1679679679679675
2020,1172,Davidson,0.7503,1.6588047171696978
2020,1305,Nevada,0.7503,2.0108129755706847
2020,1314,North Carolina,0.7483,1.6080080080080077
2020,1374,SMU,0.748,1.5502899420115974
2020,1333,Oregon St.,0.7438,2.0006010819475057
2020,1202,Furman,0.7421,1.7192877150860348
2020,1395,TCU,0.7414,1.5492196878751492
2020,1409,Tulsa,0.7334,2.0066066066066055
2020,1182,Duquesne,0.7316,1.4166
2020,1177,DePaul,0.7288,1.573085382923416
2020,1402,Texas St.,0.7275,1.9683810286171703
2020,1235,Iowa St.,0.7266,1.5212084833933566
2020,1436,Vermont,0.7256,1.9752099160335863
2020,1422,UNC Greensboro,0.7239,1.7533999999999996
2020,1208,Georgia,0.7233,1.1367367367367365
2020,1243,Kansas St.,0.7113,1.7410732096548975
2020,1260,Loyola Chicago,0.7082,1.577715543108622
2020,1308,New Mexico St.,0.7075,2.3441506410256405
2020,1281,Missouri,0.7063,1.4282282282282286
2020,1294,Northern Colorado,0.6971,1.9105642256902768
2020,1125,Belmont,0.6952,1.6261008807045636
2020,1274,Miami FL,0.6881,1.7102
